system,scale,metric,value
EEG,1,scale_persistence,0.733328
EEG,1,recovery_fidelity,0.994439
EEG,1,attractor_overlap,0.773050
EEG,1,curvature_preservation,0.333397
EEG,1,topology_similarity,0.994439
EEG,1,recurrence_reconstruction,0.994439
EEG,1,coalition_recovery,0.994439
EEG,2,scale_persistence,0.845689
EEG,2,recovery_fidelity,0.942847
EEG,2,attractor_overlap,0.616162
EEG,2,curvature_preservation,0.942847
EEG,2,topology_similarity,0.942847
EEG,2,recurrence_reconstruction,0.942847
EEG,2,coalition_recovery,0.942847
EEG,3,scale_persistence,0.214235
EEG,3,recovery_fidelity,0.921410
EEG,3,attractor_overlap,0.711136
EEG,3,curvature_preservation,0.921410
EEG,3,topology_similarity,0.921410
EEG,3,recurrence_reconstruction,0.921410
EEG,3,coalition_recovery,0.921410
EEG,4,scale_persistence,0.812421
EEG,4,recovery_fidelity,0.983835
EEG,4,attractor_overlap,0.644907
EEG,4,curvature_preservation,0.983835
EEG,4,topology_similarity,0.983835
EEG,4,recurrence_reconstruction,0.983835
EEG,4,coalition_recovery,0.983835
Kuramoto,1,scale_persistence,0.999588
Kuramoto,1,recovery_fidelity,0.966518
Kuramoto,1,attractor_overlap,0.715622
Kuramoto,1,curvature_preservation,0.306577
Kuramoto,1,topology_similarity,0.966518
Kuramoto,1,recurrence_reconstruction,0.966518
Kuramoto,1,coalition_recovery,0.966518
Kuramoto,2,scale_persistence,0.885631
Kuramoto,2,recovery_fidelity,0.801323
Kuramoto,2,attractor_overlap,0.412500
Kuramoto,2,curvature_preservation,0.801323
Kuramoto,2,topology_similarity,0.801323
Kuramoto,2,recurrence_reconstruction,0.801323
Kuramoto,2,coalition_recovery,0.801323
Kuramoto,3,scale_persistence,0.694077
Kuramoto,3,recovery_fidelity,0.928539
Kuramoto,3,attractor_overlap,0.504753
Kuramoto,3,curvature_preservation,0.928539
Kuramoto,3,topology_similarity,0.928539
Kuramoto,3,recurrence_reconstruction,0.928539
Kuramoto,3,coalition_recovery,0.928539
Kuramoto,4,scale_persistence,0.791839
Kuramoto,4,recovery_fidelity,0.386451
Kuramoto,4,attractor_overlap,0.481672
Kuramoto,4,curvature_preservation,0.386451
Kuramoto,4,topology_similarity,0.386451
Kuramoto,4,recurrence_reconstruction,0.386451
Kuramoto,4,coalition_recovery,0.386451
Logistic,1,scale_persistence,0.999609
Logistic,1,recovery_fidelity,0.999993
Logistic,1,attractor_overlap,0.947379
Logistic,1,curvature_preservation,0.780014
Logistic,1,topology_similarity,0.999993
Logistic,1,recurrence_reconstruction,0.999993
Logistic,1,coalition_recovery,0.999993
Logistic,2,scale_persistence,0.869285
Logistic,2,recovery_fidelity,0.998063
Logistic,2,attractor_overlap,0.668212
Logistic,2,curvature_preservation,0.998063
Logistic,2,topology_similarity,0.998063
Logistic,2,recurrence_reconstruction,0.998063
Logistic,2,coalition_recovery,0.998063
Logistic,3,scale_persistence,0.680361
Logistic,3,recovery_fidelity,0.872572
Logistic,3,attractor_overlap,0.447602
Logistic,3,curvature_preservation,0.872572
Logistic,3,topology_similarity,0.872572
Logistic,3,recurrence_reconstruction,0.872572
Logistic,3,coalition_recovery,0.872572
Logistic,4,scale_persistence,0.741328
Logistic,4,recovery_fidelity,0.881375
Logistic,4,attractor_overlap,0.625000
Logistic,4,curvature_preservation,0.881375
Logistic,4,topology_similarity,0.881375
Logistic,4,recurrence_reconstruction,0.881375
Logistic,4,coalition_recovery,0.881375

system,scale,persistence
EEG,scale_1,0.831076
EEG,scale_2,0.882298
EEG,scale_3,0.790346
EEG,scale_4,0.910929
Kuramoto,scale_1,0.841122
Kuramoto,scale_2,0.757821
Kuramoto,scale_3,0.834504
Kuramoto,scale_4,0.457967
Logistic,scale_1,0.960996
Logistic,scale_2,0.932544
Logistic,scale_3,0.784404
Logistic,scale_4,0.824743
